Channel,Test number,Voltage,Current,Temperature
1,1100,0.0,-0.68,25.0
1,1101,0.0,-0.64,25.0
1,1102,0.0,-0.64,25.0
1,1103,0.0,-0.76,25.0
1,1104,0.0,-0.68,25.0
1,1105,0.0,-0.68,25.0
1,1106,0.0,-0.68,25.0
1,1107,0.0,-0.64,25.0
1,1108,0.0,-0.68,25.0
1,1109,0.0,-0.68,25.0
1,1110,0.0,-0.64,25.0
1,1111,0.0,-0.68,25.0
1,1112,0.0,-0.76,25.0
1,1113,0.0,-0.64,25.0
1,1114,0.0,-0.64,25.0
1,1115,0.0,-0.64,25.0
1,1116,0.0,-0.68,25.0
1,1117,0.0,-0.72,25.0
1,1118,0.0,-0.64,25.0
1,1119,0.0,-0.64,25.0
1,1120,0.0,-0.72,25.0
1,1121,0.0,-0.68,25.0
1,1122,0.0,-0.6,25.0
1,1123,0.0,-0.64,25.0
1,1124,0.0,-0.6,25.0
1,1125,0.0,-0.72,25.0
1,1126,0.0,-0.56,25.0
1,1127,0.0,-0.68,25.0
1,1128,0.0,-0.76,25.0
1,1129,0.0,-0.68,25.0
1,1130,0.0,-0.64,25.0
1,1131,0.0,-0.64,25.0
1,1132,0.0,-0.64,25.0
1,1133,0.0,-0.68,25.0
1,1134,0.0,-0.64,25.0
1,1135,0.0,-0.68,25.0
1,1136,0.0,-0.6,25.0
1,1137,0.0,-0.72,25.0
1,1138,0.0,-0.72,25.0
1,1139,0.0,-0.64,25.0
1,1140,0.0,-0.68,25.0
1,1141,0.0,-0.72,25.0
1,1142,0.0,-0.64,25.0
1,1143,0.0,-0.68,25.0
1,1144,0.0,-0.68,25.0
1,1145,0.0,-0.68,25.0
1,1146,0.0,-0.68,25.0
1,1147,0.0,-0.68,25.0
1,1148,0.0,-0.64,25.0
1,1149,0.0,-0.64,25.0
1,1150,0.0,-0.72,25.0
1,1151,0.0,-0.68,25.0
1,1152,0.0,-0.76,25.0
1,1153,0.0,-0.68,25.0
1,1154,0.0,-0.72,25.0
1,1155,0.0,-0.76,25.0
1,1156,0.0,-0.64,25.0
1,1157,0.0,-0.6,25.0
1,1158,0.0,-0.64,25.0
1,1159,0.0,-0.64,25.0
1,1160,0.0,-0.68,25.0
1,1161,0.0,-0.76,25.0
1,1162,0.0,-0.64,25.0
1,1163,0.0,-0.72,25.0
1,1164,0.0,-0.72,25.0
1,1165,0.0,-0.68,25.0
1,1166,0.0,-0.6,25.0
1,1167,0.0,-0.72,25.0
1,1168,0.0,-0.6,25.0
1,1169,0.0,-0.68,25.0
1,1170,0.0,-0.72,25.0
1,1171,0.0,-0.64,25.0
1,1172,0.0,-0.64,25.0
1,1173,0.0,-0.64,25.0
1,1174,0.0,-0.76,25.0
1,1175,0.0,-0.68,25.0
1,1176,0.0,-0.64,25.0
1,1177,0.0,-0.64,25.0
1,1178,0.0,-0.68,25.0
1,1179,0.0,-0.68,25.0
1,1180,0.0,-0.6,25.0
1,1181,0.0,-0.72,25.0
1,1182,0.0,-0.68,25.0
1,1183,0.0,-0.64,25.0
1,1184,0.0,-0.68,25.0
1,1185,0.0,-0.64,25.0
1,1186,0.0,-0.68,25.0
1,1187,0.0,-0.68,25.0
1,1188,0.0,-0.64,25.0
1,1189,0.0,-0.68,25.0
1,1190,0.0,-0.6,25.0
1,1191,0.0,-0.68,25.0
1,1192,0.0,-0.64,25.0
1,1193,0.0,-0.64,25.0
1,1194,0.0,-0.64,25.0
1,1195,0.0,-0.64,25.0
1,1196,0.0,-0.64,25.0
1,1197,0.0,-0.72,25.0
1,1198,0.0,-0.72,25.0
1,1199,0.0,-0.76,25.0
1,1200,0.0,-0.64,25.0
1,1201,0.0,-0.68,25.0
1,1202,0.0,-0.64,25.0
1,1203,0.0,-0.68,25.0
1,1204,0.0,-0.68,25.0
1,1205,0.0,-0.72,25.0
1,1206,0.0,-0.72,25.0
1,1207,0.0,-0.64,25.0
1,1208,0.0,-0.68,25.0
1,1209,0.0,-0.64,25.0
1,1210,0.0,-0.68,25.0
1,1211,0.0,-0.6,25.0
1,1212,0.0,-0.68,25.0
1,1213,0.0,-0.64,25.0
1,1214,0.0,-0.76,25.0
1,1215,0.0,-0.76,25.0
1,1216,0.0,-0.68,25.0
1,1217,0.0,-0.8,25.0
1,1218,0.0,-0.64,25.0
1,1219,0.0,-0.68,25.0
1,1220,0.0,-0.76,25.0
1,1221,0.0,-0.72,25.0
1,1222,0.0,-0.64,25.0
1,1223,0.0,-0.72,25.0
1,1224,0.0,-0.68,25.0
1,1225,0.0,-0.68,25.0
1,1226,0.0,-0.6,25.0
1,1227,0.0,-0.68,25.0
1,1228,0.0,-0.72,25.0
1,1229,0.0,-0.68,25.0
1,1230,0.0,-0.72,25.0
1,1231,0.0,-0.68,25.0
1,1232,0.0,-0.76,25.0
1,1233,0.0,-0.68,25.0
1,1234,0.0,-0.72,25.0
1,1235,0.0,-0.68,25.0
1,1236,0.0,-0.72,25.0
1,1237,0.0,-0.68,25.0
1,1238,0.0,-0.72,25.0
1,1239,0.0,-0.64,25.0
1,1240,0.0,-0.6,25.0
1,1241,0.0,-0.76,25.0
1,1242,0.0,-0.76,25.0
1,1243,0.0,-0.72,25.0
1,1244,0.0,-0.64,25.0
1,1245,0.0,-0.72,25.0
1,1246,0.0,-0.76,25.0
1,1247,0.0,-0.64,25.0
1,1248,0.0,-0.72,25.0
1,1249,0.0,-0.72,25.0
1,1250,0.0,-0.6,25.0
1,1251,0.0,-0.64,25.0
1,1252,0.0,-0.68,25.0
1,1253,0.0,-0.72,25.0
1,1254,0.0,-0.68,25.0
1,1255,0.0,-0.72,25.0
1,1256,0.0,-0.64,25.0
1,1257,0.0,-0.64,25.0
1,1258,0.0,-0.76,25.0
1,1259,0.0,-0.68,25.0
1,1260,0.0,-0.68,25.0
1,1261,0.0,-0.72,25.0
1,1262,0.0,-0.64,25.0
1,1263,0.0,-0.68,25.0
1,1264,0.0,-0.8,25.0
1,1265,0.0,-0.68,25.0
1,1266,0.0,-0.68,25.0
1,1267,0.0,-0.68,25.0
1,1268,0.0,-0.72,25.0
1,1269,0.0,-0.72,25.0
1,1270,0.0,-0.72,25.0
1,1271,0.0,-0.72,25.0
1,1272,0.0,-0.56,25.0
1,1273,0.0,-0.68,25.0
1,1274,0.0,-0.68,25.0
1,1275,0.0,-0.76,25.0
1,1276,0.0,-0.64,25.0
1,1277,0.0,-0.6,25.0
1,1278,0.0,-0.56,25.0
1,1279,0.0,-0.76,25.0
1,1280,0.0,-0.76,25.0
1,1281,0.0,-0.68,25.0
1,1282,0.0,-0.68,25.0
1,1283,0.0,-0.76,25.0
1,1284,0.0,-0.68,25.0
1,1285,0.0,-0.76,25.0
1,1286,0.0,-0.72,25.0
1,1287,0.0,-0.68,25.0
1,1288,0.0,-0.68,25.0
1,1289,0.0,-0.64,25.0
1,1290,0.0,-0.72,25.0
1,1291,0.0,-0.68,25.0
1,1292,0.0,-0.72,25.0
1,1293,0.0,-0.72,25.0
1,1294,0.0,-0.56,25.0
1,1295,0.0,-0.64,25.0
1,1296,0.0,-0.72,25.0
1,1297,0.0,-0.76,25.0
1,1298,0.0,-0.68,25.0
1,1299,0.0,-0.68,25.0
1,1300,0.0,-0.68,25.0
1,1301,0.0,-0.64,25.0
1,1302,0.0,-0.72,25.0
1,1303,0.0,-0.64,25.0
1,1304,0.0,-0.68,25.0
1,1305,0.0,-0.72,25.0
1,1306,0.0,-0.64,25.0
1,1307,0.0,-0.72,25.0
1,1308,0.0,-0.64,25.0
1,1309,0.0,-0.72,25.0
1,1310,0.0,-0.72,25.0
1,1311,0.0,-0.68,25.0
1,1312,0.0,-0.64,25.0
1,1313,0.0,-0.68,25.0
